[hide=DPP OU (1630 stats)][code]Combined usage for DPP OU (1630 stats)
+ ---- + ------------------ + ------- +
| Rank | Pokemon            | Percent |
| 447  | Staryu             |  0.000% |
| 448  | Jigglypuff         |  0.000% |
| 449  | Weepinbell         |  0.000% |
| 450  | Wormadam-Trash     |  0.000% |
| 451  | Stunky             |  0.000% |
| 452  | Kabuto             |  0.000% |
| 453  | Rhyhorn            |  0.000% |
| 454  | Kirlia             |  0.000% |
| 455  | Koffing            |  0.000% |
| 456  | Riolu              |  0.000% |
| 457  | Krabby             |  0.000% |
| 458  | Lairon             |  0.000% |
| 459  | Surskit            |  0.000% |
| 460  | Larvitar           |  0.000% |
| 461  | Ledian             |  0.000% |
| 462  | Lickitung          |  0.000% |
| 463  | Lotad              |  0.000% |
| 464  | Wurmple            |  0.000% |
| 465  | Zigzagoon          |  0.000% |
